"";"from_name";"NATUREZA";"modularity_class";"shares_soma_c";"likes"
"1282";"Leonel Pavan";"Políticos/partidos";"Centro-Direita";15909;69087
"1283";"Nova Era Ecumênica, Ciência e Anarquia";"Criadores Digitais";"Esquerda";15888;14178
"1284";"Frente Parlamentar Defesa Dos Animais";"Políticos/partidos";"Centro";15855;29938
"1285";"RIO invisível";"Criadores Digitais";"Esquerda";15829;89652
"1286";"Ateus de Esquerda.";"Criadores Digitais";"Esquerda";15734;12528
"1287";"Palmirinha Bolchevique";"Criadores Digitais";"Esquerda";15718;25629
"1288";"Reacionário de Topete";"Criadores Digitais";"Direita";15670;13090
"1289";"Crítica Política";"Criadores Digitais";"Direita";15643;20743
"1290";"Ocupa Alemão: Favela/Quilombo";"Sociedade Civil";"Esquerda";15639;13973
"1291";"Vicente Cândido";"Políticos/partidos";"Centro-Esquerda";15625;18262
"1292";"Marxismo Cultural";"Criadores Digitais";"Direita";15556;19265
"1293";"Endireita Norte - Nordeste";"Criadores Digitais";"Direita";15543;5671
"1294";"Educação Municipal e Estadual do Rio em GREVE";"Sociedade Civil";"Esquerda";15520;27326
"1295";"MPA - Movimento dos Pequenos Agricultores";"Sociedade Civil";"Centro-Esquerda";15519;19817
"1296";"Napoleão Bernardes";"Políticos/partidos";"Centro-Direita";15511;39576
"1297";"Coletivo Projetação";"Sociedade Civil";"Esquerda";15482;26938
"1298";"João Paulo Rillo";"Políticos/partidos";"Centro-Esquerda";15477;24654
"1299";"Observatório de Favelas";"Sociedade Civil";"Esquerda";15457;67317
"1300";"Stalin da depressão";"Criadores Digitais";"Direita";15452;47491
"1301";"Partido Comunista do Brasil na Bahia";"Políticos/partidos";"Centro-Esquerda";15413;6993
"1302";"Lasier Martins";"Políticos/partidos";"Centro";15405;34921
"1303";"Comuna Rubro-Negra";"Sociedade Civil";"Esquerda";15325;10695
"1304";"Professor Olavo de Carvalho - Papo Reto, Certeiro e de Direita.";"Criadores Digitais";"Direita";15267;10768
"1305";"TV NBR";"Imprensa";"Centro-Esquerda";15227;76886
"1306";"Domingos Sávio";"Políticos/partidos";"Centro-Direita";15199;49277
"1307";"Movimento Brasil Contra Corrupção";"Sociedade Civil";"Direita";15184;33481
"1308";"Alexandre Baldy";"Políticos/partidos";"Centro-Direita";15162;58004
"1309";"O Povo Não É Bobo";"Criadores Digitais";"Centro-Esquerda";15141;8493
"1310";"Cristiane Brasil";"Políticos/partidos";"Centro";15036;19906
"1311";"Brasil de Fato Paraná";"Mídia Alternativa";"Centro-Esquerda";15035;6114
"1312";"Fernando Marroni";"Políticos/partidos";"Centro-Esquerda";14967;20148
"1313";"Heróis da FEB";"Criadores Digitais";"Direita";14960;36479
"1314";"Renato Tamaio - Brasil";"Sociedade Civil";"Direita";14918;13333
"1315";"Movimento Contra o Foro De São Paulo";"Sociedade Civil";"Direita";14910;7652
"1316";"Cédulativa";"Criadores Digitais";"Esquerda";14893;101102
"1317";"Instituto Millenium";"Sociedade Civil";"Direita";14834;115307
"1318";"Che Guevara Psicopata";"Criadores Digitais";"Direita";14812;11710
"1319";"MBL - Movimento Brasil Livre PB";"Sociedade Civil";"Direita";14756;10790
"1320";"Danilo Forte";"Políticos/partidos";"Centro";14751;30947
"1321";"Resistência do Povo Terena";"Sociedade Civil";"Centro-Esquerda";14741;14289
"1322";"Privataria tucana é a maior Corrupção";"Criadores Digitais";"Centro-Esquerda";14718;10090
"1323";"Histórias da Esquerda";"Criadores Digitais";"Centro-Esquerda";14674;28689
"1324";"Rafael Motta";"Políticos/partidos";"Centro";14640;16148
"1325";"Tia Eron";"Políticos/partidos";"Centro";14635;57257
"1326";"Conservadores Negros do Brasil";"Criadores Digitais";"Direita";14633;2863
"1327";"Bruna Furlan Deputada Federal";"Políticos/partidos";"Centro-Direita";14617;87568
"1328";"Damas da verdade";"Criadores Digitais";"Direita";14597;19516
"1329";"Petistas ONLINE";"Criadores Digitais";"Centro-Esquerda";14572;3933
"1330";"Frente Integralista Brasileira";"Sociedade Civil";"Direita";14476;10132
"1331";"Leandro Narloch";"Imprensa";"Direita";14473;29896
"1332";"Alerta Social";"Criadores Digitais";"Centro-Esquerda";14458;43169
"1333";"Sindicato dos Petroleiros do Norte Fluminense";"Sociedade Civil";"Centro-Esquerda";14448;7740
"1334";"Gonzaga Patriota";"Políticos/partidos";"Centro";14420;8196
"1335";"Testes de Macho";"Criadores Digitais";"Esquerda";14347;126972
"1336";"Amigos da Aldeia Maracanã";"Criadores Digitais";"Esquerda";14336;5677
"1337";"PeTralhas";"Criadores Digitais";"Direita";14283;1524
"1338";"Anarquia: Pense fora da caixinha";"Criadores Digitais";"Esquerda";14249;18110
"1339";"Hugo Motta";"Políticos/partidos";"Centro";14230;43116
"1340";"Alexandre Serfiotis";"Políticos/partidos";"Centro";14203;38347
"1341";"Canal das Bee";"Mídia Alternativa";"Esquerda";14199;146981
"1342";"Nelson Trad Filho";"Políticos/partidos";"Centro";14191;35221
"1343";"Evandro Gussi";"Políticos/partidos";"Centro-Direita";14183;17774
"1344";"Campanha Nacional Direito Educação";"Sociedade Civil";"Centro-Esquerda";14118;84246
"1345";"Jutahy Magalhães Jr.";"Políticos/partidos";"Centro-Direita";14101;12998
"1346";"Associação Brasileira de Atiradores Civis";"Sociedade Civil";"Direita";14094;26602
"1347";"Eu queria ser revolucionário, mas já comecei a trabalhar";"Criadores Digitais";"Direita";14064;167624
"1348";"Deputado Arnaldo Jardim";"Políticos/partidos";"Centro-Direita";14053;22022
"1349";"Democratize";"Mídia Alternativa";"Esquerda";14038;58241
"1350";"CNTE";"Sociedade Civil";"Centro-Esquerda";14029;21731
"1351";"Dani Schwery";"Políticos/partidos";"Direita";14026;20955
"1352";"Entrefatos";"Mídia Alternativa";"Centro-Esquerda";14000;20240
"1353";"Programa Força, Foco e Fé";"Criadores Digitais";"Direita";13952;1732
"1354";"Julio Cesar Ribeiro";"Políticos/partidos";"Centro";13906;32131
"1355";"Blogueiras Negras";"Mídia Alternativa";"Esquerda";13884;230779
"1356";"Direita Minas";"Sociedade Civil";"Direita";13880;55444
"1357";"Tavarez";"Criadores Digitais";"Esquerda";13874;17186
"1358";"Bolsonaro Nordestino 1.0";"Criadores Digitais";"Direita";13851;43689
"1359";"Liga Azul Monarquista Brasileira - OIB";"Criadores Digitais";"Direita";13839;11390
"1360";"Partido dos Trabalhadores da Paraíba";"Políticos/partidos";"Centro-Esquerda";13808;1461
"1361";"Ronald Reagan Realista";"Criadores Digitais";"Direita";13795;26336
"1362";"Jorge Tadeu Mudalen";"Políticos/partidos";"Centro-Direita";13782;19236
"1363";"Marcio Pochmann";"Políticos/partidos";"Centro-Esquerda";13750;11749
"1364";"CNM - Confederação Nacional de Municípios";"Sociedade Civil";"Centro";13700;22833
"1365";"Miguel Corrêa";"Políticos/partidos";"Centro-Esquerda";13677;15576
"1366";"Hugo Leal";"Políticos/partidos";"Centro";13575;13036
"1367";"Advogados Pela Liberdade";"Sociedade Civil";"Direita";13563;3348
"1368";"PSD";"Políticos/partidos";"Centro";13536;79009
"1369";"Andrea Matarazzo";"Políticos/partidos";"Centro-Direita";13528;51412
"1370";"Aborto Sim";"Sociedade Civil";"Esquerda";13494;28259
"1371";"Combate Racismo Ambiental";"Sociedade Civil";"Esquerda";13437;26014
"1372";"Marcos Abrão";"Políticos/partidos";"Centro";13436;23571
"1373";"Pela Democracia";"Criadores Digitais";"Centro-Esquerda";13385;15372
"1374";"Marcha da Maconha Belo Horizonte";"Sociedade Civil";"Esquerda";13318;10321
"1375";"Marco Tebaldi";"Políticos/partidos";"Centro-Direita";13304;31029
"1376";"Domingos Neto";"Políticos/partidos";"Centro-Esquerda";13250;28940
"1377";"Anarcomiguxos da Direita II";"Criadores Digitais";"Direita";13231;31418
"1378";"Silvio Torres";"Políticos/partidos";"Centro-Direita";13218;33690
"1379";"João Derly";"Políticos/partidos";"Centro";13217;32562
"1380";"Alfredo Nascimento";"Políticos/partidos";"Centro-Esquerda";13183;38446
"1381";"Brasil SEM Comunismo. 100% anticomunista.";"Criadores Digitais";"Direita";13121;16653
"1382";"GOAC         Grupo de operações anti Comunismo";"Criadores Digitais";"Direita";13102;20762
"1383";"Movimento Quero meu País de volta";"Sociedade Civil";"Direita";13096;8697
"1384";"Valor Afro - Escravidão, mais de 03 séculos construindo o Brasil.";"Mídia Alternativa";"Esquerda";13076;5751
"1385";"Alma Preta";"Mídia Alternativa";"Esquerda";12943;17548
"1386";"Diário da Manhã";"Imprensa";"Centro";12931;93359
"1387";"Roberto Rocha";"Políticos/partidos";"Centro";12914;52225
"1388";"João Gualberto Vasconcelos";"Políticos/partidos";"Centro-Direita";12868;114317
"1389";"Garis do Rio de Janeiro em Luta";"Criadores Digitais";"Esquerda";12862;15933
"1390";"Movimento pela Desmilitarização da Polícia Brasileira - MDPB";"Sociedade Civil";"Esquerda";12823;14147
"1391";"Raquel Muniz";"Políticos/partidos";"Centro";12805;19549
"1392";"Liderança da Minoria - Oposição ao Governo golpista de Temer";"Políticos/partidos";"Centro-Esquerda";12763;31722
"1393";"AMAST - Associação de Moradores e Amigos de Santa Teresa";"Sociedade Civil";"Esquerda";12749;12928
"1394";"Deputado Ronaldo Fonseca";"Políticos/partidos";"Centro";12734;17036
"1395";"ANF - Agência de Notícias das Favelas";"Mídia Alternativa";"Esquerda";12720;25970
"1396";"Pró Monarquia";"Sociedade Civil";"Direita";12719;45172
"1397";"Mexeu Com O Brasil, Mexeu Comigo";"Criadores Digitais";"Direita";12691;2069
"1398";"RUA - Juventude Anticapitalista";"Sociedade Civil";"Esquerda";12687;36430
"1399";"Lu Alckmin";"Políticos/partidos";"Centro-Direita";12686;81375
"1400";"Intervozes";"Sociedade Civil";"Esquerda";12683;27889
"1401";"Dollynho reaça II - Férias em Miami";"Criadores Digitais";"Esquerda";12626;12997
"1402";"Fábio Reis";"Políticos/partidos";"Centro";12598;17764
"1403";"Sala do Trono";"Criadores Digitais";"Direita";12597;19125
"1404";"Grêmio Antifascista";"Sociedade Civil";"Esquerda";12577;7431
"1405";"Tereza Cristina Corrêa da Costa Dias";"Políticos/partidos";"Centro";12556;26514
"1406";"Rubens Bueno";"Políticos/partidos";"Centro";12549;23726
"1407";"João Paulo Papa";"Políticos/partidos";"Centro-Direita";12527;19828
"1408";"Moço, você é socialista.";"Criadores Digitais";"Direita";12522;71674
"1409";"Dário Berger";"Políticos/partidos";"Centro";12478;25381
"1410";"Expedito Netto";"Políticos/partidos";"Centro";12454;24290
"1411";"Deputado Federal Zé Silva";"Políticos/partidos";"Centro";12444;23813
"1412";"PT Pará";"Políticos/partidos";"Centro-Esquerda";12431;6942
"1413";"Blog Negro Belchior";"Mídia Alternativa";"Esquerda";12410;22801
"1414";"Alexandre Lima";"Sociedade Civil";"Direita";12358;32557
"1415";"Pastoral Carcerária - CNBB";"Sociedade Civil";"Esquerda";12320;13874
"1416";"Deputado Federal Genecias Noronha";"Políticos/partidos";"Centro";12307;24270
"1417";"Modo Espartano";"Criadores Digitais";"Direita";12299;7235
"1418";"João Leão";"Políticos/partidos";"Centro-Esquerda";12265;38592
"1419";"Geovania de Sá";"Políticos/partidos";"Centro-Direita";12256;24484
"1420";"Movimento Contra Corrupção - Paraná";"Sociedade Civil";"Direita";12245;7938
"1421";"Instituto Plinio Corrêa de Oliveira";"Sociedade Civil";"Direita";12228;17242
"1422";"Acadêmicos de Milton Friedman";"Criadores Digitais";"Direita";12228;17626
"1423";"Inter Antifascista";"Criadores Digitais";"Esquerda";12226;4590
"1424";"Passe Livre São Paulo";"Sociedade Civil";"Esquerda";12210;329515
"1425";"Elmano Férrer";"Políticos/partidos";"Centro";12207;25262
"1426";"Pátria Latina";"Mídia Alternativa";"Centro-Esquerda";12086;4335
"1427";"território livre";"Criadores Digitais";"Esquerda";12084;37656
"1428";"Ulysses Gomes";"Políticos/partidos";"Centro-Esquerda";12056;40835
"1429";"Daniel Almeida";"Políticos/partidos";"Centro-Esquerda";12049;18781
"1430";"Bruno Garschagen";"Sociedade Civil";"Direita";12033;20121
"1431";"Deputado Celso Jacob";"Políticos/partidos";"Centro";12028;9664
"1432";"Jovens pela Vida";"Criadores Digitais";"Direita";12007;30517
"1433";"Marta";"Políticos/partidos";"Centro-Direita";11960;147476
"1434";"Ação Popular Socialista - APS";"Sociedade Civil";"Esquerda";11956;4822
"1435";"CUT Brasília";"Sociedade Civil";"Centro-Esquerda";11922;13828
"1436";"Expressão Sergipana";"Mídia Alternativa";"Centro-Esquerda";11914;39685
"1437";"Sindicato dos Bancários de São Paulo, Osasco e região";"Sociedade Civil";"Centro-Esquerda";11906;45172
"1438";"Raul Henry";"Políticos/partidos";"Centro";11906;62446
"1439";"Deputado Roberto Alves";"Políticos/partidos";"Centro";11900;9164
"1440";"Raquel Rolnik";"Políticos/partidos";"Esquerda";11889;39284
"1441";"Davidson";"Políticos/partidos";"Centro-Esquerda";11860;7324
"1442";"Jornal Militar do Exército";"Mídia Alternativa";"Direita";11840;113275
"1443";"Cantada de rua - conte o seu caso";"Criadores Digitais";"Esquerda";11789;30626
"1444";"Ibase";"Sociedade Civil";"Esquerda";11739;12537
"1445";"João Leite";"Políticos/partidos";"Centro-Direita";11738;49517
"1446";"Luciana Boiteux";"Sociedade Civil";"Esquerda";11727;38917
"1447";"Redes da Maré - Somos Todos Maré";"Sociedade Civil";"Esquerda";11726;15519
"1448";"Laura Carvalho";"Sociedade Civil";"Esquerda";11649;37307
"1449";"Marisa Lobo";"Sociedade Civil";"Direita";11641;17424
"1450";"Marcos Montes Cordeiro";"Políticos/partidos";"Centro";11598;11278
"1451";"Vote LGBT";"Sociedade Civil";"Esquerda";11592;31000
"1452";"Caio Narcio";"Políticos/partidos";"Centro";11536;73356
"1453";"Elcione Barbalho";"Políticos/partidos";"Centro";11528;23884
"1454";"Manoel Junior";"Políticos/partidos";"Centro";11525;33291
"1455";"Islã Realista";"Criadores Digitais";"Direita";11520;1837
"1456";"Lucas Vergilio";"Políticos/partidos";"Centro";11507;23127
"1457";"Marx Deputado Federal";"Políticos/partidos";"Centro";11488;162890
"1458";"Queremos Ética";"Criadores Digitais";"Esquerda";11476;37151
"1459";"Blog Os Amigos do Presidente Lula";"Criadores Digitais";"Centro-Esquerda";11461;22260
"1460";"Wellington Fagundes";"Políticos/partidos";"Centro";11449;15236
"1461";"Tadeu Alencar";"Políticos/partidos";"Centro";11419;13357
"1462";"Plataforma Brasileira de Política de Drogas";"Sociedade Civil";"Esquerda";11389;17205
"1463";"Preservação da Família Tradicional";"Criadores Digitais";"Direita";11387;9579
"1464";"Marcio Macedo";"Políticos/partidos";"Centro-Esquerda";11363;8493
"1465";"Janete Capiberibe";"Políticos/partidos";"Centro";11358;12672
"1466";"Paulo Fernando";"Políticos/partidos";"Direita";11325;5283
"1467";"Não ao Contrabando";"Sociedade Civil";"Centro";11311;9858
"1468";"Senador Wilder Morais";"Políticos/partidos";"Centro";11311;22028
"1469";"Lula Bolado";"Criadores Digitais";"Centro-Esquerda";11283;4090
"1470";"Olho Fatal - MAÇONS BRASIL";"Criadores Digitais";"Direita";11282;18268
"1471";"Brasil Econômico";"Imprensa";"Centro-Esquerda";11269;276267
"1472";"Luciano Ducci";"Políticos/partidos";"Centro";11243;33276
"1473";"PCO - Partido da Causa Operária";"Políticos/partidos";"Esquerda";11225;22214
"1474";"Ricardo Barros";"Políticos/partidos";"Centro";11193;15248
"1475";"Intervenção Militar-Oficial";"Criadores Digitais";"Direita";11180;20461
"1476";"Nova São Paulo";"Criadores Digitais";"Centro-Esquerda";11179;16845
"1477";"Jornal do Tocantins";"Imprensa";"Centro";11145;41499
"1478";"José Nunes";"Políticos/partidos";"Centro";11137;18490
"1479";"UFC de Direita";"Sociedade Civil";"Direita";11136;17465
"1480";"Esquerda Marxista";"Sociedade Civil";"Esquerda";11061;32392
"1481";"Ricardo Gomes";"Políticos/partidos";"Direita";11056;12089
"1482";"Direita Organizada";"Sociedade Civil";"Direita";11044;13895
"1483";"OsmarTerra";"Políticos/partidos";"Centro";11031;10355
"1484";"Intervenção Constitucional";"Sociedade Civil";"Direita";10984;28266
"1485";"Revista Afro Brasil";"Mídia Alternativa";"Esquerda";10970;369599
"1486";"Política Descolada";"Criadores Digitais";"Centro-Esquerda";10962;17947
"1487";"PT Pernambuco";"Políticos/partidos";"Centro-Esquerda";10955;6871
"1488";"Eliziane Gama";"Políticos/partidos";"Centro";10949;26164
"1489";"PT Santa Catarina";"Políticos/partidos";"Centro-Esquerda";10933;7390
"1490";"Brasil de Fato MG";"Mídia Alternativa";"Centro-Esquerda";10905;9701
"1491";"Pataxó cartoons";"Criadores Digitais";"Centro-Esquerda";10896;2683
"1492";"MBL - Movimento Brasil Livre ES";"Sociedade Civil";"Direita";10877;20995
"1493";"Paulão";"Políticos/partidos";"Centro-Esquerda";10876;15433
"1494";"FORA GILMAR MENDES : VERGONHA DO BRASIL!!";"Criadores Digitais";"Centro-Esquerda";10861;3199
"1495";"Silas Câmara";"Políticos/partidos";"Centro";10844;299632
"1496";"Movimento Republicano";"Sociedade Civil";"Direita";10809;14124
"1497";"Macho de Honra";"Criadores Digitais";"Direita";10803;59880
"1498";"CHOQUE da Depressão";"Criadores Digitais";"Esquerda";10798;17861
"1499";"Evandro Roman";"Políticos/partidos";"Centro";10792;21794
"1500";"Samuel Moreira";"Políticos/partidos";"Centro-Direita";10785;24719
"1501";"André Barros";"Sociedade Civil";"Esquerda";10690;22351
"1502";"Efraim Filho";"Políticos/partidos";"Centro";10688;54428
"1503";"Memorial da Democracia";"Sociedade Civil";"Centro-Esquerda";10676;18858
"1504";"Vergonha NA CARA";"Criadores Digitais";"Centro-Esquerda";10664;3631
"1505";"Movimento Mulheres em Luta";"Sociedade Civil";"Esquerda";10654;22640
"1506";"Ciro Nogueira";"Políticos/partidos";"Centro";10633;22537
"1507";"UJS Feminista";"Sociedade Civil";"Centro-Esquerda";10602;17959
"1508";"Mendonça Prado";"Políticos/partidos";"Centro-Direita";10581;42970
"1509";"Vilmar Rocha";"Políticos/partidos";"Centro";10580;17445
"1510";"Conceicao Sampaio";"Políticos/partidos";"Centro";10560;28969
"1511";"Resistência Popular";"Criadores Digitais";"Direita";10525;18262
"1512";"Heráclito Fortes";"Políticos/partidos";"Centro";10470;19837
"1513";"O Brasil não quer o socialismo.";"Criadores Digitais";"Direita";10451;3856
"1514";"UFGD Conservadora";"Criadores Digitais";"Direita";10396;4249
"1515";"Fábio Sousa";"Políticos/partidos";"Centro-Direita";10378;11358
"1516";"Liberdade Mental";"Criadores Digitais";"Esquerda";10335;17443
"1517";"Não vem com essa";"Criadores Digitais";"Centro-Esquerda";10302;14427
"1518";"Movimento Brasil Livre - São Paulo";"Sociedade Civil";"Direita";10289;30821
"1519";"Dr João";"Políticos/partidos";"Centro";10232;58406
"1520";"Senadora Lúcia Vânia";"Políticos/partidos";"Centro";10206;20016
"1521";"Simão Pedro";"Políticos/partidos";"Centro-Esquerda";10189;17754
"1522";"Patriota 1964";"Criadores Digitais";"Direita";10181;21010
"1523";"Fábio Felix";"Sociedade Civil";"Esquerda";10136;5730
"1524";"Leo de Brito";"Políticos/partidos";"Centro-Esquerda";10095;22260
"1525";"Professora Marcivânia";"Políticos/partidos";"Centro-Esquerda";10082;9717
"1526";"Senador Pedro Simon";"Políticos/partidos";"Centro";10078;14255
"1527";"JPSDB MG";"Sociedade Civil";"Centro-Direita";9960;11380
"1528";"Deputada Leci Brandão";"Políticos/partidos";"Centro-Esquerda";9953;20426
"1529";"Pense Livre";"Sociedade Civil";"Esquerda";9952;36080
"1530";"Paula Marisa";"Sociedade Civil";"Direita";9943;22971
"1531";"O Cara Sincero";"Criadores Digitais";"Direita";9932;9093
"1532";"DCE UFRJ Mário Prata";"Sociedade Civil";"Centro-Esquerda";9929;17287
"1533";"Ato Político";"Criadores Digitais";"Esquerda";9865;9495
"1534";"A Favor da Despenalização do Aborto";"Sociedade Civil";"Esquerda";9848;105299
"1535";"PSDB da Depressão";"Criadores Digitais";"Centro-Esquerda";9806;10749
"1536";"Direita Capixaba";"Criadores Digitais";"Direita";9783;2004
"1537";"Escolas do RJ em luta";"Sociedade Civil";"Esquerda";9766;38221
"1538";"União de Guerreiros";"Criadores Digitais";"Direita";9759;31343
"1539";"Leandre Dal Ponte";"Políticos/partidos";"Centro";9740;11450
"1540";"Marcha Mundial das Mulheres";"Sociedade Civil";"Centro-Esquerda";9739;35061
"1541";"Artur Bisneto";"Políticos/partidos";"Centro-Direita";9738;16060
"1542";"Acampamento Patriota";"Sociedade Civil";"Direita";9735;20719
"1543";"Felipe Bornier";"Políticos/partidos";"Centro";9678;42452
"1544";"Anonymous Baixada Fluminense - RJ";"Sociedade Civil";"Esquerda";9656;6101
"1545";"Bebeto Galvão";"Políticos/partidos";"Centro";9631;9740
"1546";"Saúde Popular";"Criadores Digitais";"Centro-Esquerda";9624;18124
"1547";"Marcelo Matos";"Políticos/partidos";"Centro";9623;7984
"1548";"Erundina 50";"Criadores Digitais";"Esquerda";9618;25057
"1549";"Ativismo de Sofá";"Criadores Digitais";"Esquerda";9599;11835
"1550";"Soninha Francine";"Políticos/partidos";"Centro";9568;14154
"1551";"Paulo Foletto";"Políticos/partidos";"Centro";9563;26135
"1552";"Sílvio Humberto - Nós Estamos com Você";"Sociedade Civil";"Esquerda";9542;7543
"1553";"Goulart";"Políticos/partidos";"Centro";9537;21054
"1554";"Givaldo Vieira";"Políticos/partidos";"Centro-Esquerda";9506;11981
"1555";"Partido Conservador CONS - Bahia";"Criadores Digitais";"Direita";9486;3069
"1556";"Gilberto Kassab";"Políticos/partidos";"Centro";9476;13708
"1557";"Eu sou a Mosca";"Criadores Digitais";"Centro-Esquerda";9464;8952
"1558";"Tarcísio Zimmermann";"Políticos/partidos";"Centro-Esquerda";9461;7314
"1559";"Vicentinho Alves";"Políticos/partidos";"Centro";9457;21582
"1560";"Juca Ferreira";"Políticos/partidos";"Centro-Esquerda";9420;27609
"1561";"Amigos do  Lula";"Criadores Digitais";"Centro-Esquerda";9409;23803
"1562";"Ariosto Holanda";"Políticos/partidos";"Centro";9365;7253
"1563";"Fernando Jordão";"Políticos/partidos";"Centro";9357;19419
"1564";"Deputada Carmen Zanotto";"Políticos/partidos";"Centro";9355;9213
"1565";"ENFF - Escola Nacional Florestan Fernandes";"Sociedade Civil";"Centro-Esquerda";9343;21505
"1566";"Jornal Gazeta de Rosário";"Mídia Alternativa";"Centro";9296;17828
"1567";"Instituto Trata Brasil";"Sociedade Civil";"Centro-Esquerda";9282;13238
"1568";"Em Defesa da Petrobras";"Criadores Digitais";"Centro-Esquerda";9271;6174
"1569";"coletivo vinhetando";"Sociedade Civil";"Esquerda";9254;17284
"1570";"Bolsonaro Frases";"Criadores Digitais";"Direita";9183;15109
"1571";"Marcos Rotta";"Políticos/partidos";"Centro";9156;32854
"1572";"Edinho Silva";"Políticos/partidos";"Centro-Esquerda";9152;24195
"1573";"Dep. Paulo Freire";"Políticos/partidos";"Centro";9134;23803
"1574";"Coletivo Papo Reto";"Mídia Alternativa";"Esquerda";9132;31602
"1575";"Silvio Costa Filho";"Políticos/partidos";"Centro-Esquerda";9111;22634
"1576";"Quanto vale um ""cãomunista""?";"Criadores Digitais";"Direita";9097;4138
"1577";"Periferia em Movimento";"Mídia Alternativa";"Esquerda";9082;18843
"1578";"Valdir Colatto";"Políticos/partidos";"Centro";9058;20021
"1579";"Democratas na Câmara";"Políticos/partidos";"Centro-Direita";9057;4892
"1580";"Movimento Chega de Descaso";"Sociedade Civil";"Esquerda";9048;11006
"1581";"Necrogovernismo, a doença infantil";"Criadores Digitais";"Esquerda";9046;12542
"1582";"Liberzone";"Criadores Digitais";"Direita";9040;21526
"1583";"PMDB Nacional";"Políticos/partidos";"Centro";9027;65760
"1584";"Partido Militar Brasileiro- RJ";"Sociedade Civil";"Direita";8990;10490
"1585";"Fórum de Lutas contra o aumento da passagem";"Sociedade Civil";"Esquerda";8951;10372
"1586";"N.A.S.P - Núcleo Ateísta de São Paulo";"Sociedade Civil";"Esquerda";8940;14833
"1587";"Movimento Civil XV de Março";"Sociedade Civil";"Direita";8924;14771
"1588";"Diego Andrade";"Políticos/partidos";"Centro";8895;11979
"1589";"Lucas Silveira";"Sociedade Civil";"Direita";8892;29710
"1590";"Funkeiro Poser";"Criadores Digitais";"Direita";8812;33889
"1591";"PSOL São Paulo";"Políticos/partidos";"Esquerda";8776;15352
"1592";"PSOL Rio de Janeiro";"Políticos/partidos";"Esquerda";8763;17615
"1593";"Leitores de Eliane Brum";"Criadores Digitais";"Esquerda";8751;83685
"1594";"Imposto é Roubo";"Criadores Digitais";"Direita";8737;36865
"1595";"Vander Loubet";"Políticos/partidos";"Centro-Esquerda";8708;12007
"1596";"Prb São Paulo";"Políticos/partidos";"Centro";8687;21856
"1597";"Coxinha Revoltado";"Criadores Digitais";"Esquerda";8643;17051
"1598";"Meninas Black Power";"Sociedade Civil";"Esquerda";8642;73463
"1599";"Frente de Libertação Animal";"Sociedade Civil";"Esquerda";8635;17774
"1600";"CUT Rio";"Sociedade Civil";"Centro-Esquerda";8635;13937
"1601";"Guilherme Afif";"Políticos/partidos";"Centro";8600;24872
"1602";"Movimento Contra Corrupção - Santa Catarina";"Sociedade Civil";"Direita";8573;3977
"1603";"Wilson Filho";"Políticos/partidos";"Centro";8554;41772
"1604";"Professor Hariovaldo";"Criadores Digitais";"Centro-Esquerda";8525;8310
"1605";"Minas Para Todos";"Criadores Digitais";"Centro-Esquerda";8498;12015
"1606";"Flexa Ribeiro";"Políticos/partidos";"Centro-Direita";8477;29654
"1607";"O Homem Livre";"Mídia Alternativa";"Esquerda";8458;7216
"1608";"Trotsky ensina";"Criadores Digitais";"Esquerda";8455;22213
"1609";"Jonas Amorim Brasil";"Criadores Digitais";"Direita";8382;4013
"1610";"Feminismo Autozoativo";"Criadores Digitais";"Direita";8367;22835
"1611";"Wadson Ribeiro";"Políticos/partidos";"Centro-Esquerda";8355;15658
"1612";"Fundação Maurício Grabois";"Sociedade Civil";"Centro-Esquerda";8343;11153
"1613";"Anarquismo, amor e paz.";"Criadores Digitais";"Esquerda";8333;5819
"1614";"Anderson Ferreira";"Políticos/partidos";"Centro";8309;111692
"1615";"Cristãos de Esquerda";"Criadores Digitais";"Esquerda";8276;21512
"1616";"Ensaio sobre a política";"Criadores Digitais";"Esquerda";8275;6999
"1617";"Ilê Aiyê - Oficial";"Sociedade Civil";"Centro-Esquerda";8273;69934
"1618";"Centro do Socialismo";"Criadores Digitais";"Esquerda";8265;24927
"1619";"Comissão Guarani Yvyrupa - CGY";"Sociedade Civil";"Esquerda";8264;13899
"1620";"Eu apoio - Bolsonaro 2018";"Criadores Digitais";"Direita";8242;30483
"1621";"PEDAL - Pedagogias Alternativas";"Sociedade Civil";"Centro-Esquerda";8239;15239
"1622";"Comunista de Rolex";"Criadores Digitais";"Direita";8238;19850
"1623";"Sindicato dos Metalúrgicos do ABC";"Sociedade Civil";"Centro-Esquerda";8224;24458
"1624";"Zeca Cavalcanti";"Políticos/partidos";"Centro";8212;4849
"1625";"Folha Mercado";"Imprensa";"Direita";8199;139454
"1626";"Machismo chato de cada dia";"Criadores Digitais";"Esquerda";8178;38245
"1627";"Celso Maldaner";"Políticos/partidos";"Centro";8131;15262
"1628";"Rose de Freitas";"Políticos/partidos";"Centro";8121;21478
"1629";"Médicos com Dilma";"Criadores Digitais";"Centro-Esquerda";8120;16509
"1630";"Coxinha";"Criadores Digitais";"Esquerda";8061;22067
"1631";"Deputado Mario Heringer";"Políticos/partidos";"Centro";8052;3693
"1632";"Biscoito Globo Informa";"Criadores Digitais";"Centro-Esquerda";8049;3376
